"","response.docs.lead_paragraph"
"2756","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"2757","NAIROBI, Kenya — Health workers in lime-green scrubs and white gumboots danced, ululated and drummed on buckets in celebration as the woman they hoped would be the last patient treated for Ebola in the Democratic Republic of Congo was released from a treatment center there in early March."
"2758","(Want to get this briefing by email? Here’s the sign-up.) "
"2759","MALACCA, Malaysia — About the fastest moving force these days in the old Portuguese Settlement of Malacca is the sweat trickling down the torsos of the underemployed."
"2760","In mid-March, Hackensack University Medical Center in New Jersey announced the first coronavirus-linked death in the Northeast. Since then, there have been more than 16,000 virus-related deaths in the United States, and the toll grows by the hour."
"2761","A Georgia man was charged with fraud after attempting to sell millions of nonexistent respirator masks to the government as it struggles to shore up supplies of vital medical equipment during the coronavirus pandemic, the authorities said."
"2762","Welcome to a truly strange Easter Sunday. Here’s what you need to know for the week ahead, as the coronavirus pandemic continues to ravage the global economy and wreak havoc on jobs. I hope you all get to do something normal-ish today. But most important, stay safe. — Charlotte Cowles"
"2763","Condé Nast, the most glittering of all magazine publishers, is the latest media casualty of the coronavirus pandemic."
"2764","This guide was originally published on May 14, 2019 in NYT Parenting."
"2765","WASHINGTON — A crew member from the aircraft carrier Theodore Roosevelt who had the novel coronavirus died on Monday, in a poignant punctuation to the plea from the ship’s captain two weeks ago for help from the Navy because “sailors don’t need to die.”"
"2766","Kaula Carr’s job in Arizona disappeared in March when the restaurant where she worked laid off staff members in response to the coronavirus crisis."
"2767","A Georgia man was charged with fraud after attempting to sell millions of nonexistent respirator masks to the government as it struggles to shore up supplies of vital medical equipment during the coronavirus pandemic, the authorities said."
"2768","BEIJING — Chinese officials have begun inspecting every shipment of N95 respirators, ventilators and other medical supplies for quality issues before export, a policy likely to delay the arrival of critical gear at hospitals around the world that are struggling to cope with the coronavirus pandemic."
"2769","In “The Science of Helping Out” Tara Parker-Pope argues, “During a crisis, the people who cope best are those who help others.” Does that concept resonate with you? Have you ever received any personal benefits by helping others?"
"2770","WASHINGTON — There are corners of America where social distancing is practiced with care, but the house in Robesonia, Pa., that Mark Stokes shares with 10 other people is not among them."
"2771","(Want to get this briefing by email? Here’s the sign-up.) "
"2772","In these housebound times, Americans have gone stark baking mad. Shut-ins are channeling their anxieties into pandemic pastries and quarantine cookies, some with icing piped in the shape of surgical masks, others frosted with the face of Dr. Anthony Fauci. Baking essentials such as yeast and flour are in short supply, and Google searches for bread recipes are on the rise, so to speak."
"2773","In mid-March, Hackensack University Medical Center in New Jersey announced the first coronavirus-linked death in the Northeast. Since then, there have been more than 16,000 virus-related deaths in the United States, and the toll grows by the hour."
"2774","“Which genre is this?”"
"2775","ROME — On an Easter Sunday like few others in modern history, Pope Francis said Mass under the soaring ceilings of St. Peter’s Basilica, which was virtually empty of the faithful. Outside, St. Peter’s Square, too, was bereft of the usual throngs of worshipers, who were forced to stay away because of the coronavirus pandemic."
"2776","CORTLAND, N.Y. — In mid-March, after 112 days of being open for the ski season, Greek Peak Mountain Resort shut down its chair lifts and snow-making machines. The hotel and indoor water park closed for business, and preparations for the spring wedding and mountain biking season were put on hold. The staff of 500 was reduced to 17. Greek Peak is an economic powerhouse in central New York. Those layoffs have enormous ripples."
"2777","WASHINGTON — As the White House debates when and how to reopen the economy, one emerging argument is that an extended shutdown could pose a more dire long-term health threat to the United States than the coronavirus itself."
"2778","Airlines and movie theaters are hurting. Grocery stores and streaming services are raking it in."
"2779","On Feb. 3, soon after the World Health Organization declared the coronavirus to be a global health emergency, an obscure Twitter account in Moscow began retweeting an American blog. It said the pathogen was a germ weapon designed to incapacitate and kill. The headline called the evidence “irrefutable” even though top scientists had already debunked that claim and declared the novel virus to be natural."
"2780","MIAMI — You could find Beatriz Diaz at this spring’s Winter Party Festival in Miami Beach, giving out hand sanitizer."
"2781","VINNYTSIA, Ukraine — Firefighters have struggled to control wildfires burning through radioactive forest in the abandoned territory around the Chernobyl nuclear plant, where radiation levels are considerably lower than they were immediately after the 1986 accident but still pose risks."
"2782","In late July of 2015, Vice President Joseph R. Biden Jr. traversed the state of New York with Gov. Andrew M. Cuomo, ending the day in Queens, where they announced plans to rebuild La Guardia Airport. On a flight with Mr. Cuomo aboard Air Force Two, Mr. Biden broached a delicate subject: his own interest in the presidency."
"2783","At Crown Heights Center for Nursing and Rehabilitation in Brooklyn, workers said they had to convert a room into a makeshift morgue after more than 15 residents died of the coronavirus, and funeral homes could not handle all the bodies."
"2784","Senator Bernie Sanders endorsed Joseph R. Biden Jr. as the Democratic nominee for president on Monday, adding the weight of his left-wing support to Mr. Biden’s candidacy and taking a major step toward bringing unity to the party’s effort to unseat President Trump in November."
"2785","For the roughly 20,000 members of the Oglala Sioux Tribe living on the Pine Ridge Indian Reservation — a vast, two million-acre expanse in southern South Dakota — social distancing is certainly feasible. Putting food on the table? Less so."
"2786","Students"
"2787","People across America are stepping up to the plate. Millions are performing essential services at great personal risk, and millions more are staying at home, away from friends and extended family. In return, they want the answer to a simple question: What is the plan to safely reopen America?"
"2788","There is the obvious and then there is what should be obvious. The obvious is that the coronavirus pandemic has brought much of the human world to a standstill. Many countries are in lockdown. So far, more than 1.7 million have been infected, more than 100,000 have died, and billions live in fear that the numbers of sick and dead will rise exponentially. Economies are in recession, with all the hardship that entails for human well-being."
"2789","In some places in the United States and other developed countries hit hard by Covid-19, the question is when might it become possible to start getting back to work. For much of the rest of the world, the nightmare is yet to start. And part of the horror is that many poorer countries won’t have the means to do much about it. Nor, given the international community’s lack of organization and leadership in the face of a global crisis, can they count on richer nations to help them."
"2790","Recent job losses have been nothing short of apocalyptic. Almost 17 million workers — more than 10 percent of the work force — filed for unemployment benefits over the course of just three weeks. Independent economists suggest that the unemployment rate may already be close to 20 percent, which is similar to its level in the depths of the Great Depression."
"2791","OxyContin, and the aggressive, misleading way that Purdue Pharma marketed it, might have been even more damaging than previously understood."
"2792","We had our first Zoom Seder this week. I had never hosted Passover in my home, so we had zero essentials and, though I tried to get what I could at the store, a lamb shank is not easy to come by in this particular moment. So, my kids drew the big bone and the gefilte fish on a piece of paper, and my 3-year-old insisted on eating a tortilla with ketchup instead of matzo. We read from a PDF Haggadah I found on Reform Judaism dot org. And you know what? It was still pretty special."
"2793","Rachel Hynes, 35, a financial consultant who lives in the Battery Park neighborhood of Manhattan, woke up on a recent Monday morning to an email from a female colleague she rarely works with."
"2794","The question of whether “anyone else” has “been having” strange dreams (“lately”) is perennially popular online. It is a spooky yet comforting query: Has anyone else stumbled onto possible evidence that the universe possesses a finite metaphysical infrastructure occasionally detected by the subconscious?"
"2795","WASHINGTON — As the coronavirus emerged and headed toward the United States, an extraordinary conversation was hatched among an elite group of infectious disease doctors and medical experts in the federal government and academic institutions around the nation."
"2796","Dear Diary:"
"2797","WASHINGTON — The Supreme Court announced on Monday that it would hear arguments by telephone over six days in May. In a major break with tradition, the court said it would for the first time allow live remote access to audio of the arguments."
"2798","This briefing has ended. Read live global updates on the coronavirus here."
"2799","This briefing has ended. Read live global updates on the coronavirus here. "
"2800","This briefing has ended. Follow our  latest coverage of the coronavirus epidemic."
"2801","The Democratic Socialists of America, an increasingly influential grass-roots group that backed both of Bernie Sanders’s presidential runs, will not be supporting Biden in November."
"2802","Recent job losses have been nothing short of apocalyptic. Almost 17 million workers — more than 10 percent of the work force — filed for unemployment benefits over the course of just three weeks. Independent economists suggest that the unemployment rate may already be close to 20 percent, which is similar to its level in the depths of the Great Depression."
"2803","Rachel Hynes, 35, a financial consultant who lives in the Battery Park neighborhood of Manhattan, woke up on a recent Monday morning to an email from a female colleague she rarely works with."
"2804","There is the obvious and then there is what should be obvious. The obvious is that the coronavirus pandemic has brought much of the human world to a standstill. Many countries are in lockdown. So far, more than 1.7 million have been infected, more than 100,000 have died, and billions live in fear that the numbers of sick and dead will rise exponentially. Economies are in recession, with all the hardship that entails for human well-being."
"2805","Kimora Lee Simmons, Phillip Lim and many more have collectively advanced issues of representation."
"2806","Gordon Parks’s career made it possible for the next generation to fight for their rightful place in the mainstream — only to face the same opposition he had."
"2807","In this tumultuous period of U.S. politics, there are perhaps more international journalists in Washington, D.C., than ever before."
"2808","For decades, two blocks in Greenwich Village have been home to a disproportionate number of New York City’s writers, artists, actors and designers."
"2809","The coalition that fought against AIDS stigma and worked to slow the plague changed patients’ rights and contemporary protest movements."
"2810","An appreciation of the 1967 love-rock musical, which, against the odds, won over audiences across the world."
"2811","With her lyrical work, made in 1991, Julie Dash and her collaborators recentered the black female gaze."
"2812","LONDON — Prime Minister Boris Johnson of Britain was discharged from the hospital on Sunday, a major step forward in his recovery from the coronavirus and a welcome relief for a nation whose political leadership has been harder hit by the contagion than that of any other Western country."
"2813","It’s been 33 years since ACT UP — the AIDS Coalition to Unleash Power, a direct action group made up of men and women united in their fury at the lack of response from the government and pharmaceutical industry to the AIDS crisis beginning in the 1980s — took to Wall Street on March 24, 1987, to protest public apathy about and medical profiteering from the epidemic. Since that day, much has changed: how we think about grass-roots organizing, the ways in which community among marginalized groups is cultivated and fostered, the life expectancy and treatment of people living with H.I.V. and AIDS. While many of the issues the group labored to address also persist, ACT UP has created an indelible blueprint for on-the-ground activism that has paved the way both for other movements, including Black Lives Matter and Occupy Wall Street, and for subsequent generations of L.G.B.T.Q. people to continue to fight, unrelentingly, for justice."
"2814","On a rainy afternoon recently, Ernie the Muppet was trying to get through to his roommate Bert."
"2815","The Rev. Leah Klug isn’t a stickler on religious rituals. As a hospital chaplain for Swedish Medical Group in the Seattle area, she makes do with the supplies she can find. Recently, she performed an anointing of the sick with mouthwash, because she didn’t have any oil on hand. She is accustomed to seeking the sacred in sterile rooms, reading psalms above the steady beep of a heart monitor."
"2816","Craig Gilbert, who created what is widely considered to have been the first reality television show, “An American Family,” in 1973 and then all but disappeared from public view amid a storm of criticism and lasting, bitter disputes among its participants, died on Friday at his home in Lower Manhattan. He was 94. "
"2817","The writer E. L. Doctorow — who, in “Ragtime” and other novels, pioneered a new way of presenting historical material in fiction — once said in an interview: “The historian will tell you what happened. The novelist will tell you what it felt like.” This kind of novelist deposits the reader in another era to walk in someone else’s shoes. History plus empathy equals artistry."
"2818","What an unusual and terrible time this is for all of us — with people’s lives at risk, and many lost so far; with the vast majority of us confined to our homes or, out of necessity, precariously trying to work outside our homes. There is much to mourn, much to be grateful for and much cause for worry and fear."
"2819","SEATTLE — At the end of February, Dr. Ryan Padgett’s colleagues in the emergency room called him over to share some news: A patient who had died the previous day had tested positive for the coronavirus — the first known death in the United States."
"2820","The elderly coronavirus patient arrived at the Manhattan hospital extremely sick and rapidly deteriorating. Dr. Marissa Nadeau, an emergency medicine physician on the night shift, had little time to ascertain his wishes."
"2821","SHITARA, Japan — More than three centuries of tradition rest on Mao Takeshita’s narrow shoulders."
"2822","Long ago, my man and I agreed to do what’s called “Living Apart Together,” or LAT. Even if we ever marry, I intend to keep my pad in Manhattan and spend a couple nights there alone every week."
"2823","A new apron from Bragard USA, a branch of the French company that makes chef’s clothing and gear, provides welcome protection against kitchen splatter while contributing to a good cause. It’s bright blue and decorated with a familiar dove of peace holding a toque; the design was adapted by Polonsky and Friends from the dove Picasso created for Matisse. All the profits from sales are being donated to the Restaurant Employee Relief Fund established by the National Restaurant Association Educational Foundation."
"2824","Mat Risher leaves the safety of his home near Seattle three days a week for dialysis at a clinic, a treatment he cannot live without but one that now most likely increases his risk of exposure to the coronavirus."
"2825","MADRID — For years, we have heard Spain’s leaders say that we had “the best health care in the world.” This political fantasy has now met with a rude awakening. We have learned the hard way that being deemed the healthiest nation in the world by the World Economic Forum is not the same as having the best health care system."
"2826","Irene Hirano Inouye, who established the nation’s premier Japanese-American museum, in Los Angeles, and who, as a philanthropic leader, helped leverage hundreds of millions of dollars to lift Detroit out of bankruptcy in 2014, died on April 7 at her home in Los Angeles. She was 71. "
"2827","In the late 1960s, well before the era of celebrity chefs and the flood of cooking shows, Irena Chalmers found herself stuck with six fondue pots at La Bonne Femme, the cooking school and specialty food shop she opened in Greensboro, N.C."
"2828","I know that you are feeling better when you are beginning to annoy me again."
"2829","Nicholas Kristof visits two New York City hospitals and witnesses the heavy toll on medical workers fighting to keep Americans alive."
"2830","On March 30, the Republican id burst forth when President Trump said that the latest congressional stimulus bill “had things — levels of voting that, if you ever agreed to it, you’d never have a Republican elected in this country again.” Two days later, the Republican House speaker in Georgia, David Ralston, admitted that an expansion of absentee voting would be “extremely devastating to Republicans and conservatives in Georgia.”"
"2831","COBH, Ireland — I’m a brown-haired woman and I usually feel fine about it. But in rocky times, existential or personal, my hair is the first problem on my list. The drumbeat starts, and I can’t ignore it. Change your hair, change your hair. I will. As soon as everything goes back to normal and I get home to Brooklyn, I know a Russian lady who will dye my hair a warm red-brown color."
"2832","HOUSTON — The American oil industry may have dodged a bullet."
"2833","My first memories are of an apartment in London on Kensington Park Road, with a tiny kitchen and two small rooms in the wartime 1940s. The building served as a temporary home for refugees from all corners of Nazi-occupied Europe. The British capital was under siege."
"2834","Alpha Entertainment, the company that owns the XFL, filed for bankruptcy on Monday, three days after the league suspended operations and laid off its staff."
"2835","Former Vice President Joseph R. Biden Jr. won Alaska’s Democratic primary on Saturday night, the first nominating contest held since Senator Bernie Sanders dropped out of the race and made Mr. Biden the party’s presumptive presidential nominee."
"2836","(Want to get this briefing by email? Here’s the sign-up.)"
"2837","Featured Article: “Here’s How Those Hot Jigsaw Puzzles Are Made”"
"2838","Walt Disney World in Florida plans to furlough about 43,000 workers after it closed last month because of the coronavirus pandemic, the company and a union coalition representing the workers said."
"2839","Gov. Chris Sununu of New Hampshire is ideologically limber, a Republican who favors abortion rights but vetoed a bill banning firearms on school property. At 45, he is one of America’s youngest governors, and a member of a well-known political family. He is also seeking re-election in a state increasingly inhospitable to his party."
"2840","NASHVILLE — Some time in the last two weeks I stopped finding pandemic jokes funny. All I can think about anymore are the thousands of people who have already died, or the millions who have lost their jobs, or the many others who go to work terrified of getting sick. Domestic violence is skyrocketing. The social safety net is in tatters. No matter how funny the joke, it’s hard to laugh at a time of suffering so widespread, of mortality so close at hand."
"2841","This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here."
"2842","My first memories are of an apartment in London on Kensington Park Road, with a tiny kitchen and two small rooms in the wartime 1940s. The building served as a temporary home for refugees from all corners of Nazi-occupied Europe. The British capital was under siege."
"2843","ATLANTA — President Trump has been open about his eagerness to see the economy and some semblance of business as usual spring back to life as soon as possible. His surgeon general, Jerome Adams, in a television interview on Friday noted the potential for reopening the country — “place by place, bit by bit,” beginning as early as next month."
"2844","At least 29 people died as tornadoes and severe thunderstorms swept across the South on Sunday and early Monday, sowing destruction across at least six states, emergency officials said."
"2845","(Want to get this briefing by email? Here’s the sign-up.)"
"2846","SAN FRANCISCO — More than 20 days into San Francisco’s shelter-in-place orders, with hair salons and barbershops closed, I was resigned to growing out my bangs. But my husband, Matt, who had gone almost two months without a cut, began threatening to shave his head."
"2847","BEIRUT, Lebanon — Qatar has locked down tens of thousands of migrant workers in a crowded neighborhood, raising fears it will become a coronavirus hotbed. Companies in Saudi Arabia have told foreign laborers to stay home — then stopped paying them. In Kuwait, an actress said on TV that migrants should be thrown out “into the desert.”"
"2848","At 14 years old, she was sent by her mother to live with a successful businessman in Beijing, who was supposed to serve as her caretaker and guardian. Instead, over the course of several years, she says, he repeatedly raped her and held her in his home against her will."
"2849","HOUSTON — The agreement by major oil producers on Sunday to reduce their daily production by 9.7 million barrels was the largest cutback in history and a feat of remarkable coordination by more than 20 nations led by Saudi Arabia and Russia with unusual mediation from the United States."
"2850","SEATTLE — At the end of February, Dr. Ryan Padgett’s colleagues in the emergency room called him over to share some news: A patient who had died the previous day had tested positive for the coronavirus — the first known death in the United States."
"2851","The elderly coronavirus patient arrived at the Manhattan hospital extremely sick and rapidly deteriorating. Dr. Marissa Nadeau, an emergency medicine physician on the night shift, had little time to ascertain his wishes."
"2852","Irene Hirano Inouye, who established the nation’s premier Japanese-American museum, in Los Angeles, and who, as a philanthropic leader, helped leverage hundreds of millions of dollars to lift Detroit out of bankruptcy in 2014, died on April 7 at her home in Los Angeles. She was 71. "
"2853","Long ago, my man and I agreed to do what’s called “Living Apart Together,” or LAT. Even if we ever marry, I intend to keep my pad in Manhattan and spend a couple nights there alone every week."
"2854","I know that you are feeling better when you are beginning to annoy me again."
"2855","Nicholas Kristof visits two New York City hospitals and witnesses the heavy toll on medical workers fighting to keep Americans alive."
"2856","In the midst of this pandemic, millions of Americans who have had an upper-respiratory illness have one burning question on their mind: Was it the coronavirus or just a cold or flu?"
"2857","On March 30, the Republican id burst forth when President Trump said that the latest congressional stimulus bill “had things — levels of voting that, if you ever agreed to it, you’d never have a Republican elected in this country again.” Two days later, the Republican House speaker in Georgia, David Ralston, admitted that an expansion of absentee voting would be “extremely devastating to Republicans and conservatives in Georgia.”"
"2858","HAIFA, Israel — The E.R. doctor gave me an accusing look: “Clearly the deterioration did not begin today. Why did you bring him in only now? Without medical care, he would not have lasted the night.”"
"2859","COBH, Ireland — I’m a brown-haired woman and I usually feel fine about it. But in rocky times, existential or personal, my hair is the first problem on my list. The drumbeat starts, and I can’t ignore it. Change your hair, change your hair. I will. As soon as everything goes back to normal and I get home to Brooklyn, I know a Russian lady who will dye my hair a warm red-brown color."
"2860","Late last month, a conservative website called The Federalist published an article advocating that healthy, young Americans deliberately infect themselves with Covid-19, as part of a national “controlled voluntary infection” strategy meant to build “herd immunity.” If enough Americans expose themselves to the virus and become immune, the theory goes, the country would have a mobilized cadre of immune citizens. This immune elect could reopen businesses, return to work, and save the American economy."
"2861","A small study in Brazil was halted early for safety reasons after coronavirus patients taking a higher dose of chloroquine developed irregular heart rates that increased their risk of a potentially fatal heart arrhythmia."
"2862","Gov. Chris Sununu of New Hampshire is ideologically limber, a Republican who favors abortion rights but vetoed a bill banning firearms on school property. At 45, he is one of America’s youngest governors, and a member of a well-known political family. He is also seeking re-election in a state increasingly inhospitable to his party."
"2863","(Want to get this briefing by email? Here’s the sign-up.)"
"2864","WASHINGTON — Dr. Anthony S. Fauci, the leading public health expert on President Trump’s coronavirus task force, sought on Monday to smooth over a growing rift with the president, taking the podium during the task force’s daily briefing to defend Mr. Trump, who has been enraged by reports that he was warned about the potential for a pandemic but oversaw a halting response."
"2865",""
"2866","Results from the Alaska presidential primary election."
"2867","When Dua Lipa’s second album, “Future Nostalgia,” leaked last month, the singer was already facing a conundrum: Should she release the LP, or, like many other major pop stars, push it back to when fans worldwide would (hopefully) no longer be in quarantine? Putting it out during the pandemic presented a variety of challenges — the rollout would happen almost completely virtually, and most of her carefully made plans would have to be abandoned."
"2868","ACROSTIC — Presumably everyone here encountered and survived the last acrostic, which people seemed to find as hard as I did. This is gratifying. So is today’s puzzle, because it’s pleasant and doable, a welcome return to acrostic normalcy that I will take as a sign of things to come in general. Even the passage’s author, Anne Lamott, is a very well-known purveyor of wisdom and comfort in her writing, notably the source of the passage, “Bird by Bird: Some Instructions on Writing and Life.”"
"2869","My first memories are of an apartment in London on Kensington Park Road, with a tiny kitchen and two small rooms in the wartime 1940s. The building served as a temporary home for refugees from all corners of Nazi-occupied Europe. The British capital was under siege."
"2870","Alpha Entertainment, the company that owns the XFL, filed for bankruptcy on Monday, three days after the league suspended operations and laid off its staff."
"2871","This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here."
"2872","WASHINGTON — President Trump publicly signaled his frustration on Sunday with Dr. Anthony S. Fauci, the federal government’s top infectious disease expert, after the doctor said more lives could have been saved from the coronavirus if the country had been shut down earlier."
"2873","It’s been 33 years since ACT UP — the AIDS Coalition to Unleash Power, a direct action group made up of men and women united in their fury at the lack of response from the government and pharmaceutical industry to the AIDS crisis beginning in the 1980s — took to Wall Street on March 24, 1987, to protest public apathy about and medical profiteering from the epidemic. Since that day, much has changed: how we think about grass-roots organizing, the ways in which community among marginalized groups is cultivated and fostered, the life expectancy and treatment of people living with H.I.V. and AIDS. While many of the issues the group labored to address also persist, ACT UP has created an indelible blueprint for on-the-ground activism that has paved the way both for other movements, including Black Lives Matter and Occupy Wall Street, and for subsequent generations of L.G.B.T.Q. people to continue to fight, unrelentingly, for justice."
"2874","Jack Kornfield, one of America’s true mindfulness pioneers, can talk you through this."
"2875","In the 1960s and ’70s, Brockman Gallery, Gallery 32 and JAM led the way in showing the work of artists now among the most influential of our time."
"2876","As Balmain’s Olivier Rousteing, Maria Cornejo, Telfar Clemens and Gucci’s Alessandro Michele prove, making clothes is the ultimate act of collaboration."
"2877","Whether united by outlook or identity, happenstance or choice, these communities have shaped the worlds of art, fashion, film and more."
"2878","To hear more audio stories from publishers, like The New York Times, download Audm for iPhone or Android."
"2879","In the 1950s, small boys wanted to be Stirling Moss, and so did men."
"2880","As we all hole up, rock documentaries can perk up any living room. But in the list below, I opted to skip the well-known ones. Don’t look for stadium headliners or anything by Martin Scorsese. The emphasis is on lesser-known personalities whose energy is palpable through a screen of any size. Also required was a portrayal of community-building and togetherness — something many of us are craving right now — and a healthy amount of music, preferably loud, live and with a “you are there” quality. Minus the stinky bathrooms, of course."
"2881","On a rainy afternoon recently, Ernie the Muppet was trying to get through to his roommate Bert."
"2882","This briefing has ended. Read global live updates on the coronavirus here. "
"2883","For centuries, Italy has prized the art of fashion and furniture design like no other country in the world, with generations dedicated to traditional craftsmanship and continuity."
"2884","With most of us quarantined in our homes, chances are you’ve been reacquainting yourself with the forgotten spices and fusty beans from the depths of your pantry. But how fusty is too fusty? When is the right time to throw something out? And what about fresh ingredients? If I’m trying to keep supermarket trips to a minimum, how long can my eggs, dairy and produce keep?"
"2885","A minimalist staging by John Doyle of the tale of the barber of Fleet Street emphasized the raw talents of its cast."
"2886","In high school, the Mexican chef Enrique Olvera was known to his friends as Pozole. The word, which means “hominy” in Spanish, derived from the Nahuatl “pozolli,” is also the name of a traditional Mexican soup or stew made from shelled kernels of corn, pork and garlic. When Olvera opened his first restaurant in Mexico City in 2000, he called it Pujol, a slurring of the childhood nickname. In many ways, soup has been a throughline in Olvera’s culinary life. He has said that his grandmother’s puchero, made from vegetables and cheap cuts of meat, is the first dish that he remembers eating. Other staples of her kitchen were a lentil soup with plantains and bacon and a vegetable soup made with potatoes, carrots, zucchini and whatever else was good and in season. “My grandfather really liked soups, so we always had them at home,” Olvera says. “He found them heartwarming.”"
"2887","Two deadly crashes that left its 737 Max airliner fleet grounded. An aborted mission of its new spacecraft. Problems with a tanker it makes for the Air Force, a depressed stock price and the abrupt dismissal of its chief executive."
"2888","As the novel coronavirus spread through Asia in January and February, Lourdes Leon Guerrero saw an opportunity for her small island. The governor and her lieutenant appeared in a tourism advertisement promoting Guam as an “island paradise” that was “coronavirus free,” and the video was posted to the government’s official tourism website. “Warm weather and warm smiles are waiting for you here,” Leon Guerrero, who has governed Guam since January 2019, says to the camera."
"2889","On March 25, Tara Reade, a former Senate aide for Joseph R. Biden Jr., alleged in an interview on a podcast that Mr. Biden, the presumptive Democratic presidential nominee, had sexually assaulted her in 1993."
"2890","MOSCOW — The head of Russia’s coronavirus task force, Tatyana Golikova, assured President Vladimir V. Putin in mid-March that the country was ready to take on the pandemic. From masks to ventilators, she said, Russia’s hospitals had everything they needed to weather the crisis."
"2891","Everyone is aching for all of this to be over — the sickness and the loss and the grief, of course, but also the hardships and the restrictions of life in limbo. And there are some hopeful signs that the coronavirus pandemic is leveling off in some areas — including in New York, where Gov. Andrew M. Cuomo said on Monday that “the worst is over.”"
"2892","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"2893","This guide was originally published on May 22, 2019."
"2894","MONDAY PUZZLE — Some things just sneak up on you. Even on a Monday, when puzzles are as straightforward as they come."
"2895","(Want to get this briefing by email? Here’s the sign-up.)"
"2896","The Saturday, April 11 puzzle by Erik Agard and Wyna Liu was difficult for many solvers, but one of the clues that tripped people up the most was “Rectangle on a staff” (A rectangle? On what kind of staff?)."
"2897","The Brooklyn Hospital Center’s maternity floor is a place of anxiety for staff and patients. But amid the fear, mothers with Covid-19 are experiencing moments of joy and gratitude."
"2898","A midcentury-modern house in Palm Desert, a remodeled ranch house in the San Joaquin Valley and a 1922 Craftsman-style house in Sacramento."
"2899","ROME — On the Sunday before Easter, the priest’s phone rang."
"2900","The bluebonnets popped up as ever this year, but the annual family portraits along the blooming Texas roadsides did not."
"2901","Inside the rural Ohio labs run by Battelle, a nonprofit research and development firm, scientists have tested explosives, experimented with atomic energy and worked with chemical nerve agents. But some of the group’s most critical work is now happening outside, in a parking lot."
"2902","NASCAR suspended the driver Kyle Larson indefinitely on Monday after he used a racial slur during a live stream of a virtual auto race."
"2903","The organizers of the inaugural Saudi Cup, the world’s richest horse race, are withholding the $20 million in prize money while they investigate whether the winner, Maximum Security, was aided by performance-enhancing drugs."
"2904","ATLANTA — Twelve days before New Orleans celebrated Mardi Gras Day, the citywide pre-Lenten bash that would pack thousands of visitors onto the streets, Sarah A. Babcock, the director of policy and emergency preparedness for the city health department, prepared a list of bullet points about the troubling disease that had already sickened thousands in China but had only infected 13 known patients in the United States."
"2905","Every Monday, Wednesday and Friday, our TV critic Margaret Lyons offers hyper-specific viewing recommendations in our Watching newsletter, aimed at your needs, desires and tastes. Read her latest picks below, and sign up for the Watching newsletter here."
"2906","Gianni Zampino was caring for his elderly father, Antonio, in Turin, Italy, when they both contracted the virus. Only Gianni survived."
"2907","Dr. Li Wenliang tried to warn his country but was silenced. Now its traumatized people visit his spirit online."
"2908","Early in February, I read unsupported speculations that a virus ravaging a distant city called Wuhan was due to a Chinese taste for a strange scaled mammal called the pangolin, which resembles an anteater but is cuddlier than its lumbering tube-snouted look-alike. Around that time, during a dinner party, I laughed when a friend quipped: “How do you eat a pangolin anyway? Do you dip its scales in butter like an artichoke?” When I tweeted that same joke the next day, a writer I knew responded, “It’s used for medicinal purposes.” He was simply stating a fact, but I suddenly realized that I could be spreading stereotypes about Chinese people. I deleted the tweet with a reminder to self: Make fun of Asians only around other Asians."
"2909"," [Want to get New York Today by email? Here’s the sign-up.]"
"2910","Ruth B. Mandel was an infant when she and her parents fled Germany on the eve of World War II. They were among the 937 passengers, almost all of them Jewish refugees, aboard the ocean liner St. Louis on what was often called the Voyage of the Damned."
"2911","The nation’s food supply chain is showing signs of strain, as increasing numbers of workers are falling ill with the coronavirus in meat processing plants, warehouses and grocery stores."
"2912"," [Want to get New York Today by email? Here’s the sign-up.]"
"2913","As the coronavirus tears through the country, scientists are asking: Are some people more infectious than others? Are there superspreaders, people who seem to just spew out virus, making them especially likely to infect others?"
"2914","AMSTERDAM — For tulip growers in the Netherlands, Friday the 13th of March this year was a true horror show. When tulip stems came up at the country’s largest flower market in Aalsmeer, the prices stalled over and over again at zero."
"2915","The first time I was called a serial dater was by my roommate, after I admitted to her that I had two dates set up with two different guys on the same day. I remember being nervous that the first one wouldn’t end in time for the next. The second time was when my friend Nikki failed to invite me to her movie night because she assumed I already made plans to meet up with someone from a dating app."
"2916","Every Monday, Wednesday and Friday, our TV critic Margaret Lyons offers hyper-specific viewing recommendations in our Watching newsletter, aimed at your needs, desires and tastes. Read her latest picks below, and sign up for the Watching newsletter here."
"2917","This includes spoilers for the new follow-up special for “Tiger King: Murder, Mayhem and Madness”"
"2918","With roads cleared of traffic because of the coronavirus pandemic, some cities across the country have repurposed streets into car-free zones, giving pedestrians and cyclists extra room to spread out and practice social distancing."
