"","response.docs.lead_paragraph"
"3836","Yardley Wong, captive on the Japanese cruise ship grappling with the coronavirus, captured in a single image the essence of life under quarantine. From inside her tiny cabin, Ms. Wong took a picture of the closed doorway. She posted it to Twitter last week."
"3837","A BEAUTIFUL CRIME, by Christopher Bollen. (Harper/HarperCollins, $28.99.) In this elegant crime thriller, a couple of New Yorkers contrive to sell counterfeit antiques to an unsuspecting American expat in Venice, but all does not go according to plan."
"3838","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Nick Corasaniti, your host on Tuesdays for our coverage of all things media and messaging, writing to you from Las Vegas, where the leading Democratic presidential candidates are set to debate tomorrow night."
"3839","THE CHEF SHOW Stream on Netflix. It’s easy to see why Jon Favreau and Roy Choi signed on to host this food travel show. One of the new episodes finds them chomping down smoked fish at Wexler’s Deli in Southern California. (“It looks so good,” Choi marvels.) Another begins with footage of the two sampling red wine given to them by Wolfgang Puck. (Favreau’s conclusion: “It’s good.”) Other highlights from the latest batch of episodes, released Wednesday, include the pair getting a lesson in cooking Peruvian ceviche from the chefs and restaurateurs Susan Feniger and Mary Sue Milliken, and cooking bread and biscuits with the filmmaker Sam Raimi. Raimi seems mildly envious of the pair’s gig: “Boy,” he says while holding a steaming bowl of delicious-looking food, “this is one of the toughest shoots I’ve been on.”"
"3840","Six years after the explosion that killed 29 coal miners in West Virginia, family members and co-workers of the dead weren’t answering phone calls from the New York playwright."
"3841","DORTMUND, Germany — Borussia Dortmund’s players hung back a little, idling halfway between the center circle and the goal. With Paris St.-Germain jerseys slung over their shoulders, the spoils of battle, they clapped each other on the back, they exchanged high fives, they ruffled each others’ hair. Most of all, though, they waited for him to have his moment."
"3842","To the Editor:"
"3843","KABUL, Afghanistan — President Ashraf Ghani on Tuesday was declared the winner of Afghanistan’s presidential vote after five months of delayed results and bitter dispute. But the announcement threatened to tip the country into a full-blown political crisis on the cusp of a U.S. peace deal with the Taliban."
"3844","When Sydni Brecher landed in Paris early one morning around Christmas last year, she didn’t kill precious euros in a cafe or seek refuge at an airport lounge waiting for her accommodations to be ready."
"3845","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Nick Corasaniti, your host on Tuesdays for our coverage of all things media and messaging, writing to you from Las Vegas, where the leading Democratic presidential candidates are set to debate tomorrow night."
"3846","A BEAUTIFUL CRIME, by Christopher Bollen. (Harper/HarperCollins, $28.99.) In this elegant crime thriller, a couple of New Yorkers contrive to sell counterfeit antiques to an unsuspecting American expat in Venice, but all does not go according to plan."
"3847","A forensic audit of Russia’s scandal-plagued antidoping agency appears to have unearthed a new problem: hundreds of thousands of dollars, and perhaps more, paid to companies linked to former senior executives at the agency."
"3848","Sergei Potekhin will not disclose how he and his wife, Lena, create their chocolate menagerie, mainly many breeds of dogs. Mr. Potekhin calls it a “proprietary technique,” though it looks like the figures in milk, dark and white chocolates are sculpted; some might also be molded. The couple started in Russia, where Ms. Potekhin worked for the chocolate giant Mars; her husband was in marketing. They started their chocolate work in Russia, moved to Brooklyn in 2018 and opened their shop last fall. In addition to the animals, they make other kinds of chocolates and chocolate pastries."
"3849","WASHINGTON — For years they have operated as news organizations in the United States, deploying scores of journalists to cover the major events of the day and to report back to their readers and viewers at home, even if the most important of those was the leadership of the Communist Party of China."
"3850","The Southern Baptist Convention, the largest Protestant denomination in the United States, on Tuesday expelled one of its churches for employing a pastor who is a registered sex offender."
"3851","Biden held a rally in Las Vegas on Saturday."
"3852","The Iowa Democratic Party announced on Tuesday that it had completed its partial recanvass, changing results in 29 precincts but shifting no national delegates."
"3853","Senator Bernie Sanders has improved his standing in national polls since his victory in the New Hampshire primary, raising the possibility that he could amass a commanding or even insurmountable delegate lead on Super Tuesday in two weeks."
"3854","This piece is part of “The Price of Modern Parenting.” Read more about the sandwich generation, the cost of adoption and out-of-pocket expenses for preterm births."
"3855","This graph, showing the new coronavirus as compared to other infectious diseases, appeared elsewhere on NYTimes.com. It uses a log scale, the same type of scale used for measuring earthquakes, where an increase of 1 on the log scale represents a 10-fold increase in the original scale."
"3856","Mickey Wright, who won 82 L.P.G.A. tournaments, 13 of them majors, and was perhaps the finest player in the history of women’s golf, died on Monday in Florida. She was 85."
"3857","LONDON — Weeks before taking her own life, Caroline Flack, the British television personality, wrote that she had been suffering from an emotional breakdown “for a very long time,” according to an unpublished social media post made public by her family on Wednesday."
"3858","LONDON — In 1139 Archbishop Malachy of Armagh supposedly had a vision of the future that became known as the “prophesy of popes.” In it, the Irish saint predicted the names of 112 pontiffs who would rule until the end of days. Though it was later shown to be a 16th-century forgery, the second to last pope on the list was Benedict, which has suggested to some in the Roman Catholic world that the final pope could be the current pope, and the apocalypse is nigh."
"3859","WASHINGTON — Federal Reserve officials left interest rates unchanged at their January meeting as the economy grew steadily, but they spent their meeting reviewing risks to the outlook — including fresh concerns about the coronavirus that had begun to take hold in China."
"3860","HECKER, Ill. — The first fingernail tattoo started off as a joke."
"3861","My objectively bad cat Ruby and I live in Cambridge, Mass."
"3862","The Queens neighborhood of Richmond Hill is far from Lima both geographically and atmospherically. This has not stopped Peruvian restaurants from sprouting up there. They line Jamaica Avenue under the shuddering elevated tracks of the J train, which by the time it gets here is nearly at the end of the line. Most are modest in spirit and unprepossessing in appearance."
"3863","DORTMUND, Germany — Borussia Dortmund’s players hung back a little, idling halfway between the center circle and the goal. With Paris St.-Germain jerseys slung over their shoulders, the spoils of battle, they clapped each other on the back, they exchanged high fives, they ruffled each others’ hair. Most of all, though, they waited for him to have his moment."
"3864","WASHINGTON — For years they have operated as news organizations in the United States, deploying scores of journalists to cover the major events of the day and to report back to their readers and viewers at home, even if the most important of those was the leadership of the Communist Party of China."
"3865","The Southern Baptist Convention, the largest Protestant denomination in the United States, on Tuesday expelled one of its churches for employing a pastor who is a registered sex offender."
"3866","A forensic audit of Russia’s scandal-plagued antidoping agency appears to have unearthed a new problem: hundreds of thousands of dollars, and perhaps more, paid to companies linked to former senior executives at the agency."
"3867","Senator Bernie Sanders has improved his standing in national polls since his victory in the New Hampshire primary, raising the possibility that he could amass a commanding or even insurmountable delegate lead on Super Tuesday in two weeks."
"3868","TUESDAY PUZZLE — I failed my road test the first time I took it and, in retrospect, it was a good thing that I did."
"3869","After nearly eight years away, Kim Clijsters, now a mother of three, returned to the tennis tour on Monday."
"3870","The rapper Roddy Ricch topped the latest Billboard album chart with “Please Excuse Me for Being Antisocial” and Green Day’s latest opened in the Top 5, in a slow week before the arrival of the latest from Justin Bieber."
"3871","Clockwise from top right: Ulla Johnson x Grainne Morton necklace, $1,725, (212) 965-0144. Isabel Marant bracelet, $130, isabelmarant.com. Prada necklace, $1,100, prada.com. Balenciaga earrings, $850, (212) 206-0872. Dezso by Sara Beltrán ring, $3,500, (917) 530-6944."
"3872","The rumor appeared shortly after the new coronavirus struck China and spread almost as quickly: that the outbreak now afflicting people around the world had been manufactured by the Chinese government."
"3873","Accounts of healthy babies developing serious, even fatal bleeding in the days and weeks following birth can be found going back centuries. Hemorrhagic disease of the newborn was a widely recognized but poorly understood phenomenon until the mid-20th century, when doctors demonstrated that such bleeding — now termed vitamin K deficiency bleeding — could be prevented by giving newborns a single dose of vitamin K."
"3874","Well, money can’t buy everything."
"3875","MIAMI — As most people who have grown up Cuban in the United States over the last six decades would attest, asking their parents about the Cuban Revolution tends to elicit one of three reactions: silence, suspicion or enthusiastic invocations of gratitude that you are not in Cuba."
"3876","When you signed up for this newsletter you may have noticed the language indicated it would be a “limited run.” And like all limited runs, ours is coming to an end next week."
"3877","PARIS — The line in front of the Louis Vuitton store was barely a line by Paris standards: only 10 people. All were Asian and many spoke in Chinese, with one couple dictating Mandarin into a smartphone and waiting for the answers in French."
"3878","Numbers have a certain mystique: They seem precise, exact, sometimes even beyond doubt. But outside the field of pure mathematics, this reputation rarely is deserved. And when it comes to the coronavirus epidemic, buying into that can be downright dangerous."
"3879","The Democratic presidential primary is starting to feel less like a political contest and more like an existential experiment. In the era of big data and after a year of micro-analyzing every little twist and turn, we seem to know less than we did at the beginning. In an era when we’re supposed to know everything, we somehow seem to know nothing."
"3880","MADRID — I’m in Spain right now, talking about zombie ideas — ideas that should have been killed by evidence, but just keep lurching along. In the modern United States, most important zombie ideas are on the right, kept undead by big money from billionaires who have a financial interest in getting people to believe things that aren’t true."
"3881","Well, money can’t buy everything."
"3882","MIAMI — As most people who have grown up Cuban in the United States over the last six decades would attest, asking their parents about the Cuban Revolution tends to elicit one of three reactions: silence, suspicion or enthusiastic invocations of gratitude that you are not in Cuba."
"3883","The Democratic presidential primary is starting to feel less like a political contest and more like an existential experiment. In the era of big data and after a year of micro-analyzing every little twist and turn, we seem to know less than we did at the beginning. In an era when we’re supposed to know everything, we somehow seem to know nothing."
"3884","When you signed up for this newsletter you may have noticed the language indicated it would be a “limited run.” And like all limited runs, ours is coming to an end next week."
"3885","PARIS — The line in front of the Louis Vuitton store was barely a line by Paris standards: only 10 people. All were Asian and many spoke in Chinese, with one couple dictating Mandarin into a smartphone and waiting for the answers in French."
"3886","MADRID — I’m in Spain right now, talking about zombie ideas — ideas that should have been killed by evidence, but just keep lurching along. In the modern United States, most important zombie ideas are on the right, kept undead by big money from billionaires who have a financial interest in getting people to believe things that aren’t true."
"3887","Fast on the heels of mourning Donald B. Marron after his abrupt death in December from what appeared to be a heart attack, auction houses started competing for his impressive art collection, which includes two major Picassos, as well as works by Mark Rothko, Cy Twombly and Willem de Kooning."
"3888","Accounts of healthy babies developing serious, even fatal bleeding in the days and weeks following birth can be found going back centuries. Hemorrhagic disease of the newborn was a widely recognized but poorly understood phenomenon until the mid-20th century, when doctors demonstrated that such bleeding — now termed vitamin K deficiency bleeding — could be prevented by giving newborns a single dose of vitamin K."
"3889","Black History Month is traditionally a time to honor black Americans and, theoretically, accord them their proper place in American history. Every February we re-examine the exemplary lives of Harriet Tubman, Charles Drew, Frederick Douglass and those of lesser known but truly significant leaders, artists, scientists, thinkers and others."
"3890","President Trump pardoned seven people on Tuesday, including the “junk bond king” Michael R. Milken and Bernard B. Kerik, a former New York City police commissioner. He also commuted the sentences of Rod R. Blagojevich, a former governor of Illinois, and three others."
"3891","Fast on the heels of mourning Donald B. Marron after his abrupt death in December from what appeared to be a heart attack, auction houses started competing for his impressive art collection, which includes two major Picassos, as well as works by Mark Rothko, Cy Twombly and Willem de Kooning."
"3892","ENCINITAS, Calif. — You’d be hard-pressed to find a more quintessential California surf town than Encinitas, a sun-drenched pocket of coastal North County San Diego where wet suits hang like flags from bungalow porches and taco shops promise “No shirt, no shoes, no problem.” But when Morgan and Trevor Gates moved back to the area in 2018 after spending a year in Boulder, Colo., it wasn’t so much Encinitas’s beachy energy that convinced them to buy a home in the neighborhood of Cardiff-by-the-Sea, with its dramatic bluffs and cluster of oceanfront restaurants. It was its elementary schools."
"3893","The jury in Harvey Weinstein’s rape trial began its second day of deliberations by asking to review testimony and other evidence related to a former production assistant on “Project Runway,” who said that the producer had forced oral sex on her in 2006."
"3894","REAL LIFE By Brandon Taylor"
"3895","Owen F. Bieber, who as president of the United Auto Workers from 1983 to 1995 steered a proud former flagship of unionism through an era of declining bargaining power, falling membership and contracts limited by harsh economic realities, died on Monday.  He was 90."
"3896","Politicians on the campaign trail often confront the question: Is there a right way to pronounce a state’s name?"
"3897","Pete Buttigieg, the former mayor of South Bend, Ind., has had strong showings in the first two Democratic presidential nominating contests. As he seeks to build support ahead of Nevada’s vote on Saturday, Mr. Buttigieg has sought to explain his record with black residents of South Bend, distinguish himself from his competitors on health care, and parry attacks on the issue of campaign finance. Here’s a fact check."
"3898","LAS VEGAS — Pete Buttigieg liked the line so much, he used it twice."
"3899","AS A GIRL of 6 or 8 or 10, I spent the long Midwestern summers and longer winters reading the sort of books one typically gave to American girls in the mid-1980s, many of which featured trios of female characters: the frontier Ingalls sisters of “Little House on the Prairie” (1935); Nancy Drew and her two sidekicks; the triumvirate of friends in turn-of-the-20th-century Minnesota in Maud Hart Lovelace’s Betsy-Tacy books of the 1940s and ’50s. In time, I would acquaint myself with the Civil War-era sisters growing up in genteel poverty in Louisa May Alcott’s 1868-69 “Little Women” (after Beth dies, there are three); and after that, the many geometries of women, sisters and friends, as well as meddling aunts and ineffectual mothers, in the 19th-century novels of Jane Austen. In my marked-up Keds, I’d let myself into an empty suburban house after school with my own key, settling down to a package of peanut-butter crackers and a book that seemed to offer three choices of who to be — books so immersive I forgot about watching Mary, Laura and Carrie on television reruns, or those other sisters who immediately followed on channel 13, Marcia, Jan and Cindy."
"3900","THE IMPULSE TO transform one’s visage is an elemental one, practiced by every culture on earth. From the African continent to the Inuit societies of North America to the islands of Oceania, ancient peoples used materials like mud, wood, bone, feathers and metals to craft masks made for everything from conjuring rain to guiding the dead into the spiritual realm. Aside from ceremony, masks have also long had practical implications: Think of the medico della peste, or “plague doctor” mask, with its long, birdlike beak, which was worn in the 17th century by physicians hoping to protect themselves from the Black Plague, and which became one of the enduring visual images from that time, a metaphor for the facelessness of death itself."
"3901","Pete Buttigieg, the former mayor of South Bend, Ind., has had strong showings in the first two Democratic presidential nominating contests. As he seeks to build support ahead of Nevada’s vote on Saturday, Mr. Buttigieg has sought to explain his record with black residents of South Bend, distinguish himself from his competitors on health care, and parry attacks on the issue of campaign finance. Here’s a fact check."
"3902","LAS VEGAS — Pete Buttigieg liked the line so much, he used it twice."
"3903","AS A GIRL of 6 or 8 or 10, I spent the long Midwestern summers and longer winters reading the sort of books one typically gave to American girls in the mid-1980s, many of which featured trios of female characters: the frontier Ingalls sisters of “Little House on the Prairie” (1935); Nancy Drew and her two sidekicks; the triumvirate of friends in turn-of-the-20th-century Minnesota in Maud Hart Lovelace’s Betsy-Tacy books of the 1940s and ’50s. In time, I would acquaint myself with the Civil War-era sisters growing up in genteel poverty in Louisa May Alcott’s 1868-69 “Little Women” (after Beth dies, there are three); and after that, the many geometries of women, sisters and friends, as well as meddling aunts and ineffectual mothers, in the 19th-century novels of Jane Austen. In my marked-up Keds, I’d let myself into an empty suburban house after school with my own key, settling down to a package of peanut-butter crackers and a book that seemed to offer three choices of who to be — books so immersive I forgot about watching Mary, Laura and Carrie on television reruns, or those other sisters who immediately followed on channel 13, Marcia, Jan and Cindy."
"3904","THE IMPULSE TO transform one’s visage is an elemental one, practiced by every culture on earth. From the African continent to the Inuit societies of North America to the islands of Oceania, ancient peoples used materials like mud, wood, bone, feathers and metals to craft masks made for everything from conjuring rain to guiding the dead into the spiritual realm. Aside from ceremony, masks have also long had practical implications: Think of the medico della peste, or “plague doctor” mask, with its long, birdlike beak, which was worn in the 17th century by physicians hoping to protect themselves from the Black Plague, and which became one of the enduring visual images from that time, a metaphor for the facelessness of death itself."
"3905","Taking certain antibiotics early in pregnancy may increase the risk for birth defects, a new study reports."
"3906","White-lipped peccaries travel in large packs throughout the forest. The hairy, pig-like creatures emit a distinctive musky smell that is not easy to forget, and play a crucial role in their ecosystems, dispersing seeds and creating habitats for insects and amphibians."
"3907","Owen F. Bieber, who as president of the United Auto Workers from 1983 to 1995 steered a proud former flagship of unionism through an era of declining bargaining power, falling membership and contracts limited by harsh economic realities, died on Monday.  He was 90."
"3908","Politicians on the campaign trail often confront the question: Is there a right way to pronounce a state’s name?"
"3909","LIVING WEAPONBy Rowan Ricardo Phillips"
"3910","There are 200 scheduled laps in the Daytona 500, but it was the last one of this year’s race on Monday that will be most remembered. In a few chaotic moments, Ryan Newman’s car edged into the lead on the final turn, crashed, flipped onto its roof and then was hit broadside by another car. In the fiery aftermath of the accident, Denny Hamlin won the race, the crowd fell silent and Newman skidded down the track in a shower of sparks and flames."
"3911","This graph, showing the new coronavirus as compared to other infectious diseases, appeared elsewhere on NYTimes.com. It uses a log scale, the same type of scale used for measuring earthquakes, where an increase of 1 on the log scale represents a 10-fold increase in the original scale."
"3912","Mickey Wright, who won 82 L.P.G.A. tournaments, 13 of them majors, and was perhaps the finest player in the history of women’s golf, died on Monday in Florida. She was 85."
"3913","Featured Article: “To Tame Coronavirus, Mao-Style Social Control Blankets China” by Raymond Zhong and Paul Mozur"
"3914","See the looks from the Jil Sander: Fall 2020 Collection."
"3915","Jean Seberg (1938-79) began her career playing a martyr and ended it being one."
"3916","A 19th-century farmhouse in Middletown, Conn.; a one-bedroom condominium in Detroit; and a 1910 Craftsman house in Dallas."
"3917","Passengers began disembarking on Wednesday from a cruise ship docked off Yokohama, Japan, as a two-week quarantine of the vessel was coming to an end even as a major coronavirus outbreak on board continued unabated. "
"3918","(Want to get this briefing by email? Here’s the sign-up.)"
"3919","The Diocese of Harrisburg in Pennsylvania filed for bankruptcy on Wednesday, becoming the latest Roman Catholic diocese to seek protection from creditors as it faces tens of millions of dollars in outstanding claims from people who were sexually abused by clergy members."
"3920","Federal officials have arrested a man who they said acted on behalf of a Russian agent who recruited him to collect information about the U.S. government and met repeatedly with him in Moscow."
"3921","(Want to get this briefing by email? Here’s the sign-up.) "
"3922","THURSDAY PUZZLE — The following is a public service announcement for those solvers who might be dipping their toes into Thursday-level territory:"
"3923","There is nothing objectionable about Michael Bully Herbig’s glossy political thriller, “Balloon,” but there’s nothing particularly exciting about it, either. A true-life tale of how two families narrowly escaped from communist East Germany in 1979 in a homemade hot-air balloon, the movie adopts a path so dramatically familiar we can almost predict each twist and fake-out."
"3924","A swoon-worthy opening immediately places Bruno de Almeida’s latest film in a world that seems to exist only in cinema: A suave, wavy-haired Michael Imperioli steps out onto an empty, neon-lit street, as an Italian ballad plays in the background. “Cabaret Maxime” (also the name of the nightclub Imperioli’s character, Bennie Gaza, runs) takes place during an indefinable year, in an indefinable place. The setting looks like it could be any number of European cities, though it was shot in Lisbon with all English-speaking actors."
"3925","One gray Tuesday morning, as my husband was taking our pet parrot home from a visit to the vet, Frankie escaped and disappeared above a chaotic street corner."
"3926","_________"
"3927","A map with an article on Sunday about the philanthropic contributions of Michael R. Bloomberg misidentified the location of one recipient, EngenderHealth. It is based in Washington, D.C., not Vermont."
"3928","Good morning. This could be a good weekend for cooking if you’re not, like me, spending it on a plane eating Bam’s beef jerky and pounding water against the headaches of cross-country travel. If I were in your shoes, I’d make Ali Slagle’s killer new recipe for braised pork all’arrabbiata (above) and serve it over penne on Saturday night, with red velvet crinkle cookies for dessert, a feast for a red wedding, comfort squared."
"3929","Do you have six minutes to spare? Then you can do a workout."
"3930","Oil and gas production may be responsible for a far larger share of the soaring levels of methane, a powerful greenhouse gas, in the earth’s atmosphere than previously thought, new research has found."
"3931","On Monday evening, Apple warned its shareholders about the effects of the new coronavirus outbreak. Production of iPhones has been slowed because of quarantined workers, and the company expects to sell fewer products in China as the country grapples with the problem."
"3932","Several years ago, in an overheated room in Beijing, I was forced to endure a stern lecture from a Chinese foreign ministry official. My sin: As the editor at The Wall Street Journal responsible for the paper’s overseas opinion sections, I had apparently insulted the entire Chinese people by publishing the work of a “well-known terrorist” — the courageous Uighur human-rights activist Rebiya Kadeer."
"3933","Have you ever had a great coach, whether in or out of school? One who not only helped you to master a skill or a sport, but who also helped shape you as a person?"
"3934"," [Want to get New York Today by email? Here’s the sign-up.]"
"3935","Do I know I’m at risk for developing dementia? You bet."
"3936","This article is part of our latest Learning special report. We’re focusing on Generation Z, which is facing challenges from changing curriculums and new technology to financial aid gaps and homelessness."
"3937","LAS VEGAS — In at least three campaign appearances over the past two weeks, Joseph R. Biden Jr. has told a similar story as he tries to revive his campaign in states with more diverse voters. On a trip to South Africa years ago, he has said, he was arrested as he sought to visit Nelson Mandela in prison."
"3938","This train will carry more saints than sinners when it leaves New Jersey."
"3939","In the South African artist Cinga Samson’s “Ivory” series of paintings — five lush, ethereal, figurative canvases made in 2018 — a young black man in jeans and an ornate gold-colored jacket stands in the middle of the 4-by-3 foot compositions, reveling amid tropical ferns, twisting vines and bird-of-paradise plants against a moody backdrop of rocks and sea. In each painting, the setting is surreal but the figure’s stance is coolly elegant; his eyes, pupil-less white orbs, suggest an inner reverie. Seemingly unconcerned with the viewer, he projects a strong presence, at once inviting and enigmatic, joyful and antagonistic. This is a world that belongs, unequivocally, to him."
"3940","Bernie Sanders is expected to do well in the Nevada caucuses, and the race for second place is wide open. See how important Nevada is to the Democrats competing there today."
"3941","TAMPA, Fla. — When Gerrit Cole agreed to his record nine-year, $324-million deal with the Yankees in December, pitcher J.A. Happ sent a congratulatory text message to his former throwing partner with the 2015 Pittsburgh Pirates. “I hope we’re teammates again,” Happ wrote."
"3942","Wells Fargo has agreed to pay $3 billion to settle criminal charges and a civil action stemming from its widespread mistreatment of customers in its community bank over a 14-year period, the Justice Department announced on Friday."
"3943","It didn’t take long for an army of volunteers to emerge in Wuhan after the authorities put the city on lockdown to stop the spread of the coronavirus. Anna Liu just didn’t expect to be one of them."
"3944","Iain writes: I moved to Portland, Ore., three years ago and love it. But drivers here refuse to zipper merge. Instead, they all jam their way into the continuing lane as soon as they can. As I drive by them to the merge point, they often try to block me from merging and/or flip me the bird. Please order Portland to get on board with the zipper merge."
"3945","Imagine that a 19-year-old American soldier was captured by terrorists and dragged through a tunnel across our border."
"3946","And the New York Botanical Garden held its orchid dinner."
"3947","In 2013, I ruled in Floyd vs. City of New York that the tactics underlying the city’s stop-and-frisk program violated the constitutional rights of people of color. While Michael Bloomberg was mayor of New York, black and Latino people were disproportionately stopped, and often frisked, millions of times, peaking at 690,000 in 2011. After my ruling, the number of stops plummeted to 11,000 in 2018. And crime did not rise."
"3948","Karl Rove had a novel idea for how to organize President George W. Bush’s 2004 re-election campaign."
"3949","OKLAHOMA CITY — When Kevin Stitt campaigned for governor of Oklahoma, he said his identity as a citizen of Cherokee Nation gave him “firsthand” knowledge of the clout Native American tribes wield in the state. But since his victory in November 2018, the tribal nations have been teaching Mr. Stitt lessons in the politics of Indian Country."
"3950","Roger Federer announced on Thursday that he had undergone surgery on his right knee and would miss a series of tournaments, including the French Open in May."
"3951","New Mexico’s attorney general sued Google on Thursday, saying the tech giant used its educational products to spy on the state’s children and families."
"3952","LAS VEGAS — Hours before Senator Elizabeth Warren would take the stage in front of the largest television audience in Democratic debate history, she was holed up in a Bellagio hotel suite outfitted with six podiums for her final practice session."
"3953","WASHINGTON — Richard Grenell’s tenure as the nation’s top intelligence official may be short-lived, but he wasted no time this week starting to shape his team of advisers, ousting his office’s No. 2 official — a longtime intelligence officer — and bringing in an expert on Trump conspiracy theories to help lead the agency, according to officials."
"3954","In the South African artist Cinga Samson’s “Ivory” series of paintings — five lush, ethereal, figurative canvases made in 2018 — a young black man in jeans and an ornate gold-colored jacket stands in the middle of the 4-by-3 foot compositions, reveling amid tropical ferns, twisting vines and bird-of-paradise plants against a moody backdrop of rocks and sea. In each painting, the setting is surreal but the figure’s stance is coolly elegant; his eyes, pupil-less white orbs, suggest an inner reverie. Seemingly unconcerned with the viewer, he projects a strong presence, at once inviting and enigmatic, joyful and antagonistic. This is a world that belongs, unequivocally, to him."
"3955","Bernie Sanders is expected to do well in the Nevada caucuses, and the race for second place is wide open. See how important Nevada is to the Democrats competing there today."
"3956","Beethoven had to present his only opera three times before it won success. It was premiered as “Fidelio” in 1805, revised as “Leonore” in 1806 and revised again in 1814 as the “Fidelio” we know today. Everyone now calls the first two versions “Leonore” to distinguish them from the famous one — but they are far from identical, because Beethoven was under intense pressure to shorten and simplify after the mixed reception in 1805."
"3957","When I was in high school, I had an eating disorder, and nobody noticed."
"3958","This article is part of our latest Learning special report. We’re focusing on Generation Z, which is facing challenges from changing curriculums and new technology to financial aid gaps and homelessness."
"3959","[For more stories on race from The Times, sign up here for our weekly Race/Related newsletter.]"
"3960","A 19th-century farmhouse in Middletown, Conn.; a one-bedroom condominium in Detroit; and a 1910 Craftsman house in Dallas."
"3961","Featured Article: “To Tame Coronavirus, Mao-Style Social Control Blankets China” by Raymond Zhong and Paul Mozur"
"3962","(Want to get this briefing by email? Here’s the sign-up.)"
"3963","Passengers began disembarking on Wednesday from a cruise ship docked off Yokohama, Japan, as a two-week quarantine of the vessel was coming to an end even as a major coronavirus outbreak on board continued unabated. "
"3964","There was a bit of sealing wax with a fingerprint, a brush entangled with strands of hair, and a set of lieutenants’ epaulets."
"3965","Prime Minister Benjamin Netanyahu of Israel announced plans on Thursday to build thousands of new housing units in contested East Jerusalem, which critics say could doom any prospect of a deal with the Palestinians."
"3966","LONDON — An attacker entered London Central Mosque during afternoon prayer and stabbed a 70-year-old prayer leader on Thursday, before being subdued by worshipers and arrested on suspicion of attempted murder, the police said."
"3967","Kellye Nakahara, the actress best known for her recurring role as Nurse Kellye Yamato on the hit television series “M*A*S*H,” died on Sunday at her home in Pasadena, Calif. She was 73."
"3968","Driving on the “other” side of the road was the least their problems. One wayward driver in Mexico was certain his wrong turn had invited a police shakedown. In Turkey, one breakdown among many ended with locals helping build a campfire on a frigid night. In Kenya, a repair took on extra urgency when the travelers realized they were in the middle of a path for drug smugglers."
"3969","To the Editor:"
"3970","To the Editor:"
"3971","See the looks from the Jil Sander: Fall 2020 Collection."
"3972","Jean Seberg (1938-79) began her career playing a martyr and ended it being one."
"3973","The Diocese of Harrisburg in Pennsylvania filed for bankruptcy on Wednesday, becoming the latest Roman Catholic diocese to seek protection from creditors as it faces tens of millions of dollars in outstanding claims from people who were sexually abused by clergy members."
"3974","THURSDAY PUZZLE — The following is a public service announcement for those solvers who might be dipping their toes into Thursday-level territory:"
"3975","My partner, Solomon, and I still argue about Gina Prince-Bythewood’s 2000 romance, “Love & Basketball.” The movie tells the story of Monica (Sanaa Lathan) and Quincy (Omar Epps), which begins with Monica’s family moving in next door to Quincy’s when they are both 11, follows them as their friendship turns to courtship right before they graduate high school and start playing basketball at U.S.C. Once in college, they juggle off-court drama (Quincy learns that his pro-athlete father has impregnated a woman outside his marriage), and on-court demands (Monica fights to earn her spot as the starting point guard)."
"3976","I am a white woman living in a mostly white town and state. We needed a small roof repair, and my (white) husband hired someone who had done work for us before. This time, the head of the crew brought with him a worker who drove a truck with a Confederate battle flag prominently displayed. I was deeply offended."
"3977","Billie Eilish and her brother, Finneas O’Connell, famously recorded her megaselling, multi-Grammy-winning debut album “When We All Fall Asleep, Where Do We Go?” by themselves in Finneas’s childhood bedroom. The songs they made there conjure an even more tightly claustrophobic space: Eilish’s music sounds like it’s taking place within the quivering confines of a single anxious mind."
"3978","Colum McCann’s new novel, “Apeirogon,” is based on an uplifting true story. It’s about two fathers — Rami Elhanan, an Israeli, and Bassam Aramin, a Palestinian — who each lost a young daughter to senseless violence. They have become friends and work together, through an organization called Combatants for Peace, to bring the opposing sides together."
"3979","“Mature, responsible countries understand that a free press reports facts and expresses opinions.”"
"3980","PORT ST. LUCIE, Fla. — The head of the M.L.B. players’ union said on Wednesday that the league had initially indicated that it did not intend to punish any Houston Astros players as a result of its investigation into their sign-stealing scheme, contradicting a claim by Commissioner Rob Manfred."
"3981","The University of Michigan said Wednesday that it was investigating whether one of its doctors had assaulted patients across several decades, becoming at least the third Big Ten university to reckon with allegations of sexual misconduct by longtime members of its medical staff."
"3982","LAS VEGAS — President Trump is not exactly a fan of life on the road."
"3983","One gray Tuesday morning, as my husband was taking our pet parrot home from a visit to the vet, Frankie escaped and disappeared above a chaotic street corner."
"3984","_________"
"3985","No matter how much free time you have this weekend, we have TV recommendations for you. Come back every week for new suggestions on what to watch."
"3986","A swoon-worthy opening immediately places Bruno de Almeida’s latest film in a world that seems to exist only in cinema: A suave, wavy-haired Michael Imperioli steps out onto an empty, neon-lit street, as an Italian ballad plays in the background. “Cabaret Maxime” (also the name of the nightclub Imperioli’s character, Bennie Gaza, runs) takes place during an indefinable year, in an indefinable place. The setting looks like it could be any number of European cities, though it was shot in Lisbon with all English-speaking actors."
