"","response.docs.lead_paragraph"
"4215","#SpeakingInDance is a weekly visual exploration of dance on Instagram. Watch the video from our most recent post below, and follow us at @nytimes."
"4216","New York, with the greatest number of confirmed coronavirus cases in the country, is racing to save lives. It cannot do so effectively without moving quickly to protect its most vulnerable citizens, including the more than 1.6 million people in New York City who live in poverty."
"4217","Editors’ note: The Letter of Recommendation in the March 22 issue of the magazine was printed before gyms and exercise classes were advised to shut down to prevent the novel coronavirus from spreading."
"4218","Riley writes: My boyfriend and I have a dispute about the double-decker sandwich. He argues that the word “deck” is nautical and refers to the flat, floorlike bread. So a double-decker is bread, filling, bread, filling, with no third bread-deck on top. I argue a double-decker is bread, filling, bread, filling, bread."
"4219","New York was still making money a week ago. A few people wearing masks, some closings, but generally business as usual. And then we tumbled down a cliff. By Friday, commuters arriving at Grand Central Terminal paused as they entered the main concourse — stunned by its emptiness, the usual din quieted by stay-at-home orders from companies and the government. For the first time, the vast, star-covered ceiling seemed appropriate."
"4220","The Open Cities Community Health Center in St. Paul, Minn., is considering shutting down because it doesn’t have enough face masks. Doctors at Barnes Jewish Hospital in St. Louis are performing invasive procedures on coronavirus patients with loose fitting surgical masks rather than the tight respirator masks recommended by health agencies. At a Los Angeles emergency room, doctors were given a box of expired masks, and when they tried to put them on, the elastic bands snapped."
"4221","Like workers in most other fields, restaurant people speak their own language. They talk about covers when they mean customers, sourcing instead of shopping, and cocktail programs, which civilians would just call cocktails. This week, an eerie new term has rippled through the business: contactless delivery."
"4222","The coronavirus raging around the globe has tended to tread gently with children, who account for the smallest percentage of the infections identified so far."
"4223","WASHINGTON — A federal government plan to combat the coronavirus warned policymakers last week that a pandemic “will last 18 months or longer” and could include “multiple waves,” resulting in widespread shortages that would strain consumers and the nation’s health care system."
"4224","LONDON — Noël Coward wrote “Blithe Spirit” in a mere six days, and the perennially popular play opened on the West End in 1941, running for nearly 2,000 performances — setting a record in London for a nonmusical."
"4225","Straddling the line between advocacy documentary and D.I.Y. infomercial, “Dosed” promotes psychoactive vegetation as a potential cure for drug addiction. The filmmaker, Tyler Chandler, trails a friend, known in the film only by a first name, Adrianne, as she experiments with psilocybin mushrooms and the hallucinogenic plant iboga to treat her seemingly intractable dependence on heroin, methadone or morphine. The effectiveness of these alternative-medicine therapies, and the question of whether they should be legal, is still the subject of debate."
"4226","I’m not in a “La La Land” kind of mood. These strange times call for real life, so I found myself landing on “Strike a Pose.” Watching this 2016 documentary about the dancers who performed in Madonna’s “Blond Ambition” tour — one called it a show “about freedom, freedom as an artist, freedom as a human being” — the word I’m left with is resiliency."
"4227","These charts show the trajectory of the coronavirus pandemic in each country. New cases have dwindled in China and South Korea, but the virus continues to spread rapidly in most of the world."
"4228","After the terrorist attacks of Sept. 11, 2001, we were exhorted to defiance. I remember it well."
"4229",""
"4230",""
"4231",""
"4232",""
"4233",""
"4234",""
"4235",""
"4236",""
"4237",""
"4238","After another round of decisive victories — in Florida, Illinois and Arizona on Tuesday — Joseph R. Biden Jr. now holds an all but insurmountable lead in the race for the Democratic nomination."
"4239","The coronavirus can live for three days on some surfaces, like plastic and steel, new research suggests. Experts say the risk of consumers getting infected from touching those materials is still low, although they offered additional warnings about how long the virus survives in air, which may have important implications for medical workers."
"4240","We are using this post during today’s webinar to help people new to our site learn how to comment. Below, the question we’ll be asking listeners. If you need instructions on how to register and post comments beyond what we will share on the webinar, please consult this post."
"4241","New estimates from a Harvard research team show that, in many parts of the country, there may not be enough hospital beds and staff for coronavirus patients. A shortage of intensive care beds for the sickest patients may be even worse."
"4242","One of McDonald’s values is to “invest in all the people our success rests on.” But in the video above, a shift manager at a McDonald’s restaurant in Kansas City, Mo., asks why a company that earned $5.3 billion last year can’t guarantee paid sick leave for all of its workers, especially during the coronavirus outbreak."
"4243","The sight of empty grocery shelves — widely shared on social media — combined with the dread of an invisible threat seem a perfect recipe for widespread hysteria. But, so far, despite mixed messages from government officials and shortages of tests and hospital capacity, there is little evidence of widespread panic."
"4244",""
"4245","Before the coronavirus crisis hit, I was toying with writing a book about 21st-century political parties, but in light of this global epidemic it’s obvious that whatever nonfiction book you’re working on now, put it down. There is the world B.C. — Before Corona — and the world A.C. — After Corona. We have not even begun to fully grasp what the A.C. world will look like, but here are some trends I’m watching."
"4246","SUNCATCHER"
"4247","Working from home because of the coronavirus pandemic may sound like a luxury. Freedom to cook lunch. Time to do laundry between tasks. Respite from that loquacious co-worker."
"4248","As the United States braces for an onslaught of coronavirus cases, hospitals and governments are confronting a grim reality: There are not nearly enough lifesaving ventilator machines to go around, and there is no way to solve the problem before the disease reaches full throttle."
"4249","In “We Need Social Solidarity, Not Just Social Distancing,” Eric Klinenberg, a sociologist, writes that to combat the coronavirus, Americans need to do more than secure their own safety:"
"4250","LONDON — As panicked shoppers in Britain empty supermarket shelves and hoard goods amid the coronavirus outbreak, food banks that depend on donations are struggling to stay afloat, and some have been forced to shut down."
"4251","This article was originally published on March 6 and last updated on March 28. This is a fast-moving situation, so some information may be outdated. For the latest updates, read The New York Times’s live coronavirus coverage here."
"4252","Featured Article: “Procrastinate Much? Manage Your Emotions, Not Your Time.” by Adam Grant"
"4253","For working parents, life is utter chaos right now. With schools and day cares closed because of the coronavirus outbreak, many parents are trying to work from home while also caring for — and sometimes home-schooling — their kids. This juggling act is slightly less crazy for parents who are fortunate enough to have nannies or regular babysitters, but these families are also facing tough decisions and sometimes new laws and recommendations. If you’re practicing social distancing, is it OK to invite a babysitter into your home? Should you be offering your sitter time off — and if so, should it be paid or unpaid? What if you’re worried that your caregiver might get your family sick?"
"4254","Vampire bats don’t have the best reputation. For one thing, they are bats, and despite the value of bats and their great variety — about a quarter of all mammal species — not everyone loves them."
"4255","Good morning."
"4256","If your income has fallen or been cut off completely, we’re here to help. This guide will connect you to the basic information you’ll need to get through this, including on government benefits, free services and financial strategies. This guide has been updated with the details of the $2 trillion relief plan that has been enacted by Washington."
"4257","The heir to the British throne, N.B.A. stars, award-winning actors and members of Congress. World-touring musicians, religious leaders and the loved ones of elected leaders."
"4258","The world has changed a lot in the last few weeks. We’re here to help."
"4259","Several athletes and representatives of national Olympic committees reacted with bewilderment and frustration on Wednesday after officials from the International Olympic Committee urged them to continue training for the Summer Games despite worldwide restrictions on movement amid a pandemic that has cast the event into doubt."
"4260","One instruction remains consistent and clear during the coronavirus pandemic: Stay home. For many of us, that means taking our daily activities — work, school, medical care and connecting with loved ones — online. But not for everyone. The coming weeks will lay bare the already-cruel reality of the digital divide: tens of millions of Americans cannot access or cannot afford the home broadband connections they need to telework, access medical information and help young people learn when school is closed. When public health requires social distancing and even quarantine, closing the digital divide becomes central to our safety and economic security."
"4261","(Want to get this briefing by email? Here’s the sign-up.)"
"4262","WASHINGTON — The U.S. commander in Afghanistan is halting American and allied troops from entering Afghanistan and, in turn, preventing some troops from leaving, for the next month, American and European officials said. The planning reflects mounting concerns as the coronavirus has spread in the country in recent days."
"4263","MOSCOW — Ukraine, like many countries, has closed schools and banned mass gatherings to combat the coronavirus. But unlike others, it has struggled to tamp down street protests, which persist over the war in the country’s separatist east."
"4264","With coronavirus anxiety rising, your major concern is probably not whether you can get fresh figs or an exotic pink pineapple from Costa Rica, but having eggs, fresh lettuce, pork chops and the like delivered to your door might be."
"4265","In what might be considered a golden age of content, the true crime genre stands out as one that is consistently captivating audiences in every dark corner of the cultural landscape."
"4266","If the heavily hyped U.F.C. lightweight title fight between Khabib Nurmagomedov and Tony Ferguson takes place on April 18, as scheduled, it will not be fought at Barclays Center in Brooklyn."
"4267","By now, your children may have heard about the new coronavirus, whether it’s from a snippet of a news briefing or from other kids at school. They may have family members who have been quarantined here because of recent international travel, or they may even know someone who is sick. “My patients are scared,” said Dr. Nia Heard-Garris, M.D., an attending physician at the Ann and Robert H. Lurie Children’s Hospital of Chicago."
"4268","There is no known cure for the new coronavirus."
"4269","When Pam Mundus and a friend landed in Milan for a weeklong vacation on Feb. 23, uniformed airport workers in face masks, attempting to contain the spread of the new coronavirus, took their temperatures."
"4270","It looks like spring break 2020 will be remembered more for the break than the spring."
"4271","WASHINGTON — The Trump administration on Thursday announced the release of two Americans imprisoned overseas and said it had intensified demands for a third, amid global fears that the coronavirus could quickly spread among detainees and result in deaths."
"4272","MAARAT MISRIN, Syria — In northwestern Syria, where a million people who have fled the civil war are sheltering in muddy tent camps and abandoned buildings, the spread of the coronavirus could wreak untold disaster on a devastated region."
"4273","MOSCOW — For Vladimir V. Putin’s budding police state, the coronavirus is an unexpected dress rehearsal."
"4274","Two strangers approach a man named George on the streets of San Francisco."
"4275","The Radio City Rockettes’ dazzling Christmas outfits. The tutus and feathers that adorn the company of the New York City Ballet. The catsuits of “Cats.”"
"4276","Long before the coronavirus swept across the United States, pushing millions of Americans into some form of isolation, the state of Connecticut forced eight people into mandatory quarantine during the Ebola virus scare."
"4277","WASHINGTON — President Trump has spent two years publicly attacking the Federal Reserve and undercutting its chair, Jerome H. Powell. That animosity is making it difficult for Washington to project a united front as it stares down the most significant economic threat since the Great Recession."
"4278","Vincent is bartending at a Vancouver Island hotel one night when her half-sibling, Paul, writes an ominous message on a lobby wall. The words’ meaning becomes clearer after Vincent begins a relationship with the hotel owner, who turns out to be a crooked financier bound to spend his last years in prison. She, Paul and others affected by his crimes try to move on — Vincent to a container ship on which she becomes a cook — even as their pasts remain present. To be published by Knopf on March 24."
"4279","A 5.7-magnitude earthquake struck near Magna, Utah, on Wednesday morning, knocking out power for tens of thousands of people in the largest earthquake the state has felt since 1992, the authorities said."
"4280","The former Manhattan prosecutor Linda Fairstein sued Netflix and the director Ava DuVernay on Wednesday, arguing that she was falsely portrayed as a “racist, unethical villain” pushing for the convictions of five black and Latino teenagers in “When They See Us,” a series about the Central Park Five case."
"4281","Inside an immigration court in southern Texas this week, a judge asked one of us to stand at the far end of the courtroom and not submit any documents on behalf of a client, perhaps as a health precaution. Inside a nearby federal court, dozens of migrants were being processed for violating federal immigration law. The coronavirus has paused most of our lives. But for migrants, life under a pandemic looks a lot like life before it: suffering because President Trump has an insatiable appetite for imprisoning migrants."
"4282","The YouTube video shows two young men sitting in front of a computer screen, enthralled by what they’re watching and pausing, periodically, to marvel at it. They stare as a demonlike character — it resembles something from the costumed metal band Gwar — screams and tries to shred on its guitar. The backdrop behind it shuffles through a series of apocalyptic images: a swirling orange inferno, a black-and-white mushroom cloud, a bunch of explosions. An oil refinery belches smoke as the monster holds a microphone close to his face: “Tons of corrupt filth we keep tossin’,” it belts out, “sending Earth to hell in a pod-shaped coffin.”"
"4283","In 1633, as the plague swept Europe, the villagers of Oberammergau prayed to God. They promised to perform the story of Jesus’s Passion — his life, death and resurrection — every 10 years, as long as God spared them from the horrors of the disease."
"4284","BEIJING — China’s leader, Xi Jinping, pledged to send more medical experts to Italy this week, on the same day Beijing sent 2,000 rapid diagnostic tests to the Philippines. Serbia’s president pleaded for assistance not from the country’s neighbors in Europe, which restricted the export of needed medical equipment, but from China."
"4285","[This briefing has ended. For the latest updates on the coronavirus outbreak in the New York area, read Wednesday’s live coverage.]"
"4286","BANGKOK — For months, many Southeast Asian countries played down the threat posed by the new coronavirus. Some officials said that prayer would keep the disease away. Others expressed optimism that the tropical heat would slow the spread of the virus."
"4287","PARIS — An exodus from Paris at the Gare Montparnasse train station. A postal worker warning of the plague, the apocalypse and repentance, with the Eiffel Tower behind him. Fear in people’s eyes, and tense moments, in a long line outside a supermarket."
"4288","Enid Devlin (a snake-eyed Margo Martindale, who wields a cane with finesse) runs a bed, breakfast & beyond, complete with a candy dish of condoms in the foyer and a retinue of young women on duty in the tiny Maine town where “Blow the Man Down” is set."
"4289","The Radio City Rockettes’ dazzling Christmas outfits. The tutus and feathers that adorn the company of the New York City Ballet. The catsuits of “Cats.”"
"4290","WASHINGTON — The Trump administration on Thursday announced the release of two Americans imprisoned overseas and said it had intensified demands for a third, amid global fears that the coronavirus could quickly spread among detainees and result in deaths."
"4291","Two strangers approach a man named George on the streets of San Francisco."
"4292","MAARAT MISRIN, Syria — In northwestern Syria, where a million people who have fled the civil war are sheltering in muddy tent camps and abandoned buildings, the spread of the coronavirus could wreak untold disaster on a devastated region."
"4293","MOSCOW — For Vladimir V. Putin’s budding police state, the coronavirus is an unexpected dress rehearsal."
"4294","Ten or 20 years from now, by the time the current crisis has hardened into a cautionary tale about the dangers of governmental incompetence, I imagine we’ll look back on Donald Trump’s Rose Garden news conference of Friday, March 13, as the moment that finally shattered the world’s faith in America. What broke me, at least, was the spectacular smallness on display — how, in the span of about an hour that afternoon, the illusion of American can-do greatness shriveled like a frightened turtle right before our eyes."
"4295","The United States can and should “go big” to fight the coronavirus. It has done so before, at extraordinary speed and scale. It has tools like the Defense Production Act to help do it again. And it can be transformative: The industrial mobilization during World War II had a military purpose but lasting economic and social effects, helping build the foundation for a remarkable era of postwar prosperity. To get it right, we must understand how it worked, where it fell short and what the nation needs to mobilize again."
"4296","Dr. Catherine Hamlin, an Australian obstetrician and gynecologist who devoted her life to treating Ethiopian women with a devastating childbearing injury and helped develop pioneering techniques to treat it, died on Wednesday at her home in Addis Ababa, Ethiopia’s capital. She was 96."
"4297","The Cannes Film Festival has been postponed to reduce the spread of the coronavirus. The event, one of the world’s most important film festivals, was meant to run May 12-23, but organizers said in a statement on Thursday that could not happen."
"4298","With the new coronavirus spreading across the United States, some schools are closing for days, weeks or perhaps even longer. As head of an all-girls pre-K through 12 school outside of Philadelphia, I’ve been working with health officials and fellow administrators to help our local community wrestle with how to respond to reports of presumptive positive cases in the area. Naturally, both parents and educators are asking the same question: What happens now?"
"4299","A poll worker wore gloves for protection against the coronavirus outside a voting site at Woodmere Park in Venice, Fla."
"4300","I recently moved to Miami, Fla. from California to begin medical school."
"4301","Featured Article: “On the Trail of America’s First Women to Vote” by Jennifer Schuessler"
"4302","BERLIN — It has spread to every continent except Antarctica, brought the global economy to its knees and turned life upside down for millions of people. But, until Tuesday night, there was one lucky group of attractive, young people who knew nothing about the coronavirus pandemic."
"4303","$9.6 MILLION"
"4304","Coffee has been cool for years now. Coffee liqueur, not so much."
"4305","_________"
"4306","SAN DIEGO — Kendra and Anthony Rose were feeling the crunch in 2017. The couple, now married, were living in a one-bedroom apartment in North Park, the hip San Diego neighborhood that wraps around the northeast corner of Balboa Park. Mr. Rose has two children from a previous marriage, and every weekend when the kids, ages 6 and 7, would visit, the couple resigned themselves to sleeping on the sofa."
"4307","WASHINGTON — When it comes to the term bailout, lawmakers and Trump administration officials would just as soon bail out and avoid it altogether. Same goes for stimulus; many don’t find the word politically stimulating at all. And don’t even dare to mention troubled assets."
"4308","Through conversations on Capitol Hill, engagement with local activists and policy nods toward Elizabeth Warren and Bernie Sanders, Joseph R. Biden Jr.’s campaign and its allies are ramping up overtures to progressives, aiming to improve Mr. Biden’s standing with a key part of the Democratic coalition in an effort to unite the party around his potential nomination."
"4309","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"4310","As with most parents in China, when I’m not anxiously scanning my phone for the latest news of the coronavirus outbreak, I’m consumed by another pressing question: How will I survive another day stuck indoors with my kids?"
"4311","Former Vice President Joseph R. Biden Jr. easily won the Democratic primary elections in Florida, Illinois and Arizona on Tuesday. The three states award a total of 441 delegates for the party’s presidential nomination. "
"4312","It happened around the world, and now it’s happening in the United States: The more people stay home to avoid the coronavirus pandemic, the more they find themselves glued to their screens."
"4313","Misinformation about the coronavirus continues to circulate across swaths of the American media — on popular podcasts, in blog posts, in online videos and on prime-time cable news shows — as recently as this week."
"4314",""
"4315","Carlos Rodriguez Herrera, a part-time barista at a Mediterranean restaurant in New York City, was told not to come in for his morning shift on March 14. The next day, just before Mayor Bill de Blasio ordered all restaurants and bars to cease dine-in service, Mr. Rodriguez Herrera and his co-workers were sent home several hours early. As the coronavirus has continued to spread, making “social distancing” a nationwide norm, foot traffic into coffee shops and restaurants has fallen to a light patter. Food service workers around the country are losing their jobs."
"4316","The morning after my university announced classes would be moved online because of the coronavirus, the power went out on campus. It was restored just a few hours later, but the outage was a stark reminder of how dependent we are on our electrical and online infrastructure as more and more of us are moving to remote learning and work."
"4317","Mayor Bill de Blasio wasn’t the only New Yorker who squeezed in an 11th-hour workout before gyms shut down in New York and elsewhere, along with movie theaters and nightclubs, at 8 p.m. on Monday."
"4318","The bouffant is back!"
"4319","Tonie Marshall, a French-American filmmaker and actress and the only female director to win a César award, France’s equivalent of the Oscars, died on Thursday in Paris. She was 68. "
"4320","In a sharp escalation of tensions between the two superpowers, China announced on Tuesday that it would expel American journalists working for The New York Times, The Wall Street Journal and The Washington Post. It also demanded that those outlets, as well as the Voice of America and Time magazine, provide the Chinese government with detailed information about their operations."
"4321","MY METEORITE Or, Without the Random There Can Be No New ThingBy Harry Dodge"
"4322","The financial shock from the coronavirus pandemic threatens the housing security of millions of Americans, prompting federal, state and local officials — and even judges and the police — to move quickly to ward off foreclosures and evictions."
"4323","The phone sitting on my patient’s bedside table looked as if it had been designed by Dr. Seuss."
"4324","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
"4325","Good morning."
"4326","The United States has not faced in decades a pandemic threat like the one posed by the coronavirus today — arguably, not since the 1918 flu. Now that it is here, while the most critical advice must come from epidemiologists and other medical professionals — not atmospheric scientists like me — it’s worth noting the common elements among different types of disasters."
"4327","BROKEN GLASS Mies van der Rohe, Edith Farnsworth and the Fight Over a Modernist Masterpiece By Alex Beam"
"4328","Kim Foxx, the Chicago prosecutor who faced intense criticism for her handling of the case of Jussie Smollett, the actor charged with staging a racist and homophobic attack, took a major step toward re-election on Tuesday with a victory in the Democratic primary."
"4329","As effects of the coronavirus are rippling through the economy, including at bricks and mortar stores, comic book writers and artists are rallying online to offer activities for those staying at home. They are offering scripting lessons, art activities and even posting some of their own public service announcements."
"4330","Lyle Waggoner, the sable-haired heartthrob best remembered as the announcer and a comic performer in the early years of “The Carol Burnett Show” and for playing opposite Lynda Carter on the 1970s television versions of “Wonder Woman,” died on Tuesday at his home in Westlake Village, Calif. He was 84."
"4331","As with most parents in China, when I’m not anxiously scanning my phone for the latest news of the coronavirus outbreak, I’m consumed by another pressing question: How will I survive another day stuck indoors with my kids?"
"4332","LEWISTON, N.Y. — Neighbors used to wave to Timothy Masters whenever he stood outside his cherry-red barn, trading hellos across his corn and soybean fields in this small town about 10 miles north of Niagara Falls."
"4333","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"4334","Former Vice President Joseph R. Biden Jr. easily won the Democratic primary elections in Florida, Illinois and Arizona on Tuesday. The three states award a total of 441 delegates for the party’s presidential nomination. "
"4335",""
"4336",""
"4337","NOBODY WILL TELL YOU THIS BUT ME A True (as Told to Me) Story By Bess Kalb"
"4338","Carlos Rodriguez Herrera, a part-time barista at a Mediterranean restaurant in New York City, was told not to come in for his morning shift on March 14. The next day, just before Mayor Bill de Blasio ordered all restaurants and bars to cease dine-in service, Mr. Rodriguez Herrera and his co-workers were sent home several hours early. As the coronavirus has continued to spread, making “social distancing” a nationwide norm, foot traffic into coffee shops and restaurants has fallen to a light patter. Food service workers around the country are losing their jobs."
"4339","Despite the danger of the coronavirus outbreak, some bars and restaurants are still packed with people, beaches are crowded, and many are proceeding as if all were normal. But all is not normal. In this video, celebrities beg you to listen to the C.D.C.’s warnings and socially distance yourself. (A walk around the block is okay, but keep a 6-foot distance.)"
"4340","Tesla, the luxury electric carmaker, said on Thursday that it would shut down production at its San Francisco Bay Area factory, which has remained open for several days in apparent defiance of a local county order."
"4341","Is the modern Republican Party built on race prejudice, otherwise known as racism?"
"4342","It’s a commonplace that emergencies can bring people together. But the imperative issued right now by experts, governments and businesses seems to suggest the very opposite: The sign that you care is that you engage in “social distancing.”"
"4343","In a bygone era — last week, in other words — the best way to cut through New York City stress was, for many, a stroll to the nearest restaurant, bar or maybe (for the virtuous or vain) the gym."
"4344","(Want to get this briefing by email? Here’s the sign-up.) "
"4345","It is a fitting irony that the term “fake news” has become itself fraudulent, appropriated, by Donald Trump and his imitators, to dismiss legitimate reporting that they deem damaging, disrespectful or insufficiently flattering."
"4346","WASHINGTON — President Trump on Wednesday defended his increasingly frequent practice of calling the coronavirus the “Chinese Virus,” ignoring a growing chorus of criticism that it is racist and anti-Chinese."
"4347","This article is part of the Debatable newsletter. You can sign up here to receive it Tuesdays and Thursdays."
"4348","To the Editor:"
"4349","The United States has not faced in decades a pandemic threat like the one posed by the coronavirus today — arguably, not since the 1918 flu. Now that it is here, while the most critical advice must come from epidemiologists and other medical professionals — not atmospheric scientists like me — it’s worth noting the common elements among different types of disasters."
"4350","Good morning."
"4351","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
"4352","WASHINGTON — When Deborah Frank Feinen, the mayor of Champaign, Ill., drafted an emergency powers declaration last Thursday to confront the coronavirus pandemic, she was proud of her city’s early preparation. But by the time she got to work the next morning, the National Rifle Association had blared a “national alert” saying “anti-gun extremists” were moving “to undermine our firearms freedom.”"
"4353",""
"4354",""
"4355",""
"4356",""
"4357",""
"4358",""
"4359","Thanks to the new coronavirus, my son’s basketball tournament was canceled last week. (He is 12 and plays in a middle school league.) He loves the game, so I understood his disappointment at the announcement. But I am surprised by his seeming inability to bounce back from it. We watch the evening news as a family, so he sees the much harder toll Covid-19 is taking on others. (Basically, he’s on vacation in a nice, safe house.) Still, he moans about the canceled tournament and keeps asking if I think it will be reinstated. Any advice for dealing with childish selfishness during a pandemic?"
"4360","The United States has not faced in decades a pandemic threat like the one posed by the coronavirus today — arguably, not since the 1918 flu. Now that it is here, while the most critical advice must come from epidemiologists and other medical professionals — not atmospheric scientists like me — it’s worth noting the common elements among different types of disasters."
"4361","Like many of you, we miss going to the movies, and we also miss having new movies to think, write and argue about. But there is still a lot to say about a lot of the older movies out there, including some that not all of us have seen. Your Weekend Watch is a chance for us to crowd into the (virtual) theater together and then meet up afterward to enthuse, complain and (politely or not) talk about what we just saw. In the coming weeks, we will be looking at classics and curiosities, misunderstood masterpieces and movies we somehow missed."
"4362","[This briefing has ended. Read the latest updates on the coronavirus epidemic here.]"
"4363","Good morning."
"4364","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
"4365","BROKEN GLASS Mies van der Rohe, Edith Farnsworth and the Fight Over a Modernist Masterpiece By Alex Beam"
"4366","THE DREAM UNIVERSE How Fundamental Physics Lost Its Way By David Lindley"
"4367","I grew up in Southern California neighborhoods that were overwhelmingly white — white schools, white teachers, white curriculum. I remember visiting the Los Angeles County Museum of Art where a cast of Auguste Rodin’s monumental sculpture of Balzac towered over me. My friends and I immersed ourselves in the works of white authors, and I can still recite vast sections of T.S. Eliot’s “The Hollow Men,” William Butler Yeats’s “The Second Coming,” and, if I squeeze my eyes real tight, the final luxurious paragraphs of “The Dead,” James Joyce’s masterful short story."
"4368","LONDON — As the coronavirus bears down on Britain’s overstretched National Health Service, doctors say they fear trying days of hard choices and rationed resources."
"4369","WASHINGTON — The Federal Reserve said late Wednesday night that it would offer emergency loans to money market mutual funds, its latest in a series of steps to keep the financial system functioning and prop up the economy as it spirals toward recession during the coronavirus pandemic."
"4370","The former Manhattan prosecutor Linda Fairstein sued Netflix and the director Ava DuVernay on Wednesday, arguing that she was falsely portrayed as a “racist, unethical villain” pushing for the convictions of five black and Latino teenagers in “When They See Us,” a series about the Central Park Five case."
"4371","With the country in crisis mode, Melat Eskender, 19, has assumed battle position: In her parents’ living room making phone calls for Senator Bernie Sanders, with quarantine rations of Flamin’ Hot Cheetos at her side."
"4372","Inside an immigration court in southern Texas this week, a judge asked one of us to stand at the far end of the courtroom and not submit any documents on behalf of a client, perhaps as a health precaution. Inside a nearby federal court, dozens of migrants were being processed for violating federal immigration law. The coronavirus has paused most of our lives. But for migrants, life under a pandemic looks a lot like life before it: suffering because President Trump has an insatiable appetite for imprisoning migrants."
"4373","(Want to get this briefing by email? Here’s the sign-up.) "
"4374","BEIJING — China’s leader, Xi Jinping, pledged to send more medical experts to Italy this week, on the same day Beijing sent 2,000 rapid diagnostic tests to the Philippines. Serbia’s president pleaded for assistance not from the country’s neighbors in Europe, which restricted the export of needed medical equipment, but from China."
"4375","[This briefing has ended. For the latest updates on the coronavirus outbreak in the New York area, read Wednesday’s live coverage.]"
"4376","CYNTHIANA, Ky. — Closing in on a week after the coronavirus had descended on his small, rural community, James D. Smith sat behind a microphone in the WCYN studio on Main Street for his regular morning show, “Coffee Break Extra.” On his head, he wore a dark blue cap that said “mayor,” and in his eyes, the stress of the past several days."
"4377","SYDNEY, Australia — The actors Tom Hanks and Rita Wilson have been released from an Australian hospital and will remain in self-isolation after being treated for Covid-19, the disease caused by the coronavirus, their son said in a video statement on Monday."
"4378","BANGKOK — For months, many Southeast Asian countries played down the threat posed by the new coronavirus. Some officials said that prayer would keep the disease away. Others expressed optimism that the tropical heat would slow the spread of the virus."
"4379",""
"4380",""
"4381",""
"4382",""
"4383",""
"4384","WEDNESDAY PUZZLE — The constructor Ricky Cruz is back, and I am grateful, because I can use the laugh right now."
"4385","How do you feel when you read a poem? Does it make a difference if you have to read a poem for school rather than for pleasure? Do you ever seek out poems on your own or share poems on social media?"
"4386","Want this in your inbox each morning? Sign up here."
"4387","I didn’t even notice the balloons at first. With our laser focus on coronavirus, on our protocols and procedures, our carts of isolation gowns and our fears about mask shortages, it is easy to see only pandemic these days."
"4388","TUESDAY PUZZLE — I started this column intending to write just a brief one, as we are most likely all thinking about other things, but it turned into a much longer piece. I will try to make this as coherent as possible."
"4389",""
"4390",""
"4391",""
"4392",""
"4393",""
"4394",""
"4395",""
"4396",""
"4397",""
"4398",""
"4399",""
"4400",""
"4401",""
"4402",""
"4403",""
"4404",""
"4405",""
"4406",""
"4407",""
"4408",""
"4409",""
"4410",""
"4411",""
"4412",""
"4413","NOBODY WILL TELL YOU THIS BUT ME A True (as Told to Me) Story By Bess Kalb"
"4414",""
"4415",""
"4416",""
"4417",""
"4418",""
"4419",""
"4420",""
"4421","Coffee has been cool for years now. Coffee liqueur, not so much."
"4422","_________"
"4423","A poll worker wore gloves for protection against the coronavirus outside a voting site at Woodmere Park in Venice, Fla."
"4424","I recently moved to Miami, Fla. from California to begin medical school."
"4425","SAN DIEGO — Kendra and Anthony Rose were feeling the crunch in 2017. The couple, now married, were living in a one-bedroom apartment in North Park, the hip San Diego neighborhood that wraps around the northeast corner of Balboa Park. Mr. Rose has two children from a previous marriage, and every weekend when the kids, ages 6 and 7, would visit, the couple resigned themselves to sleeping on the sofa."
"4426","Working at a breakneck pace, a team of hundreds of scientists has identified 50 drugs that may be effective treatments for people infected with the coronavirus."
"4427","Kim Foxx, the Chicago prosecutor who faced intense criticism for her handling of the case of Jussie Smollett, the actor charged with staging a racist and homophobic attack, took a major step toward re-election on Tuesday with a victory in the Democratic primary."
"4428","As effects of the coronavirus are rippling through the economy, including at bricks and mortar stores, comic book writers and artists are rallying online to offer activities for those staying at home. They are offering scripting lessons, art activities and even posting some of their own public service announcements."
"4429","LEWISTON, N.Y. — Neighbors used to wave to Timothy Masters whenever he stood outside his cherry-red barn, trading hellos across his corn and soybean fields in this small town about 10 miles north of Niagara Falls."
"4430","Lyle Waggoner, the sable-haired heartthrob best remembered as the announcer and a comic performer in the early years of “The Carol Burnett Show” and for playing opposite Lynda Carter on the 1970s television versions of “Wonder Woman,” died on Tuesday at his home in Westlake Village, Calif. He was 84."
"4431","$9.6 MILLION"
"4432","WASHINGTON — When it comes to the term bailout, lawmakers and Trump administration officials would just as soon bail out and avoid it altogether. Same goes for stimulus; many don’t find the word politically stimulating at all. And don’t even dare to mention troubled assets."
